# Generation MaxFitness AvgFitness
286 0 22.6452
287 0 23.3026
288 0 21.3015
289 0 21.7283
290 0 24.1795
291 0 25.7107
292 0 26.9076
293 0 28.4754
294 0 28.6484
295 0 29.4315
296 0 39.6829
297 0 41.8559
298 0 37.8386
299 0 31.8976
300 0 29.2998
301 0 27.1348
302 0 26.7348
303 0 27.3542
304 0 28.2328
305 0 30.0086
306 0 29.8947
307 0 27.1172
308 0 28.0485
309 0 27.9957
310 0 27.7544
311 0 25.8124
312 0 26.9137
313 0 26.0711
314 0 26.6374
315 0 26.2655
316 0 22.8675
317 0 23.0205
318 0 21.8557
319 0 21.2801
320 0 21.8029
321 0 21.0112
322 0 21.314
323 0 22.7755
324 0 22.1732
325 0 22.7294
326 0 19.9203
327 0 19.9168
328 0 22.329
329 0 24.7946
330 0 24.2927
331 0 23.5114
332 0 22.5352
333 0 21.7308
334 0 23.671
335 0 19.6938
336 0 20.96
337 0 23.8392
338 0 21.5261
339 0 22.6081
340 0 20.3064
341 0 23.3639
342 0 24.879
343 0 20.5176
344 0 23.0167
345 0 19.6707
346 0 19.3404
347 0 21.4541
348 0 22.0208
349 0 20.8346
350 0 20.2019
351 0 19.93
352 0 17.3913
353 0 19.4709
354 0 17.358
355 0 21.1015
356 0 18.1734
357 0 16.8038
358 0 16.1287
359 0 14.7701
360 0 14.634
361 0 14.3231
362 0 13.2055
363 0 13.2642
364 0 13.0372
365 0 13.3248
366 0 15.9852
367 0 15.2779
368 0 15.0066
369 0 15.5063
370 0 15.4981
371 0 14.0552
372 0 14.838
373 0 15.6243
374 0 15.877
375 0 16.7637
376 0 16.2066
377 0 14.0642
378 0 16.8764
379 0 18.5147
380 0 15.5214
381 0 13.7908
382 0 14.1656
383 0 14.5255
384 0 15.1474
385 0 13.8761
386 0 15.8034
387 0 38.2121
388 0 30.7909
389 0 30.0398
390 0 33.2893
391 0 32.1528
392 0 34.8834
393 0 32.9319
394 0 31.1032
395 0 29.4294
396 0 31.1735
397 0 31.5973
398 0 26.4537
399 0 24.4418
400 0 23.1922
401 0 21.1651
402 0 20.9012
403 0 21.0667
404 0 22.1158
405 0 20.0997
406 0 21.2124
407 0 34.1762
408 0 32.894
409 0 33.4735
410 0 32.2714
411 0 31.5895
412 0 32.3833
413 0 23.7764
414 0 17.8292
415 0 18.257
416 0 20.1224
417 0 22.6398
418 0 25.8722
419 0 25.511
420 0 25.2747
421 0 22.9748
422 0 21.2402
423 0 37.42
424 0 36.4705
425 0 35.4766
426 0 32.2494
427 0 33.6491
428 0 31.9185
429 0 29.9422
430 0 30.2423
431 0 26.831
432 0 24.983
433 0 26.9066
434 0 22.2625
435 0 24.5387
436 0 26.3171
437 0 24.4131
438 0 22.7945
